,code,gii
0,AFG,0.444
1,ALB,0.77
2,DZA,0.633
3,AGO,0.657
4,ARG,0.752
5,ARM,0.673
6,AUS,0.731
7,AUT,0.777
8,AZE,0.688
9,BHS,0.725
10,BHR,0.632
11,BGD,0.719
12,BRB,0.769
13,BLR,0.758
14,BEL,0.789
15,BLZ,0.699
16,BEN,0.653
17,BTN,0.639
19,BIH,0.713
20,BWA,0.716
21,BRA,0.695
22,BRN,0.678
23,BGR,0.746
24,BFA,0.651
25,BDI,0.769
26,KHM,0.685
27,CMR,0.692
28,CAN,0.772
30,TCD,0.593
31,CHL,0.716
32,CHN,0.682
33,COL,0.725
35,CRI,0.786
36,CIV,0.637
37,HRV,0.733
38,CUB,0.746
39,CYP,0.707
42,DNK,0.768
43,DOM,0.699
44,ECU,0.739
45,EGY,0.639
46,SLV,0.738
47,EST,0.733
48,SWZ,0.729
49,ETH,0.691
50,FJI,0.674
51,FIN,0.861
52,FRA,0.784
54,GEO,0.732
55,DEU,0.796
56,GHA,0.666
57,GRC,0.689
58,GTM,0.655
59,GIN,0.66
60,GUY,0.728
61,HND,0.716
62,HUN,0.688
63,ISL,0.892
64,IND,0.625
65,IDN,0.688
67,IRQ,0.535
68,IRL,0.8
69,ISR,0.724
70,ITA,0.721
71,JAM,0.741
72,JPN,0.656
73,JOR,0.683
74,KAZ,0.71
75,KEN,0.692
77,KWT,0.621
80,LVA,0.778
81,LBN,0.638
82,LSO,0.698
83,LBR,0.693
84,LTU,0.804
85,LUX,0.726
86,MDG,0.725
87,MWI,0.671
88,MYS,0.676
89,MDV,0.642
90,MLI,0.591
91,MLT,0.703
92,MRT,0.606
93,MUS,0.679
94,MEX,0.757
96,MNG,0.716
97,MNE,0.732
98,MAR,0.612
99,MOZ,0.758
100,MMR,0.681
101,NAM,0.809
104,NZL,0.84
105,NIC,0.796
106,NER,0.629
107,NGA,0.627
108,MKD,0.715
109,NOR,0.849
110,OMN,0.608
111,PAK,0.556
112,PAN,0.737
113,PNG,0.635
114,PRY,0.702
115,PER,0.721
116,PHL,0.784
117,POL,0.713
118,PRT,0.775
119,QAT,0.624
120,ROU,0.7
122,RWA,0.805
123,SAU,0.603
124,SEN,0.684
125,SRB,0.78
126,SLE,0.655
127,SGP,0.727
128,SVK,0.712
129,SVN,0.741
130,ZAF,0.781
131,ESP,0.788
132,LKA,0.67
133,SUR,0.729
134,SWE,0.823
135,CHE,0.798
137,TJK,0.65
139,THA,0.71
140,TLS,0.72
141,TGO,0.683
142,TTO,0.749
143,TUN,0.649
145,UGA,0.717
146,UKR,0.714
147,ARE,0.716
150,URY,0.702
151,VUT,0.625
154,YEM,0.492
155,ZMB,0.726
156,ZWE,0.732
