,code,gii
1,ALB,0.728
2,DZA,0.629
3,AGO,0.64
4,ARG,0.732
5,ARM,0.677
6,AUS,0.731
7,AUT,0.709
8,AZE,0.676
9,BHS,0.743
10,BHR,0.632
11,BGD,0.719
12,BRB,0.75
13,BLR,0.744
14,BEL,0.739
15,BLZ,0.692
16,BEN,0.652
17,BTN,0.638
20,BWA,0.72
21,BRA,0.684
22,BRN,0.671
23,BGR,0.756
24,BFA,0.646
25,BDI,0.755
26,KHM,0.676
27,CMR,0.689
28,CAN,0.769
30,TCD,0.575
31,CHL,0.704
32,CHN,0.674
33,COL,0.731
35,CRI,0.727
36,CIV,0.611
37,HRV,0.711
38,CUB,0.745
39,CYP,0.684
42,DNK,0.776
43,DOM,0.697
44,ECU,0.724
45,EGY,0.608
46,SLV,0.705
47,EST,0.731
48,SWZ,0.67
49,ETH,0.656
51,FIN,0.823
52,FRA,0.778
54,GEO,0.679
55,DEU,0.778
56,GHA,0.695
57,GRC,0.692
58,GTM,0.667
59,GIN,0.659
61,HND,0.711
62,HUN,0.67
63,ISL,0.878
64,IND,0.669
65,IDN,0.691
68,IRL,0.794
69,ISR,0.721
70,ITA,0.692
71,JAM,0.717
72,JPN,0.657
73,JOR,0.604
74,KAZ,0.713
75,KEN,0.694
77,KWT,0.679
80,LVA,0.756
81,LBN,0.596
82,LSO,0.695
83,LBR,0.669
84,LTU,0.742
85,LUX,0.706
86,MDG,0.692
87,MWI,0.672
88,MYS,0.67
89,MDV,0.669
90,MLI,0.583
91,MLT,0.682
92,MRT,0.614
93,MUS,0.664
94,MEX,0.692
96,MNG,0.713
97,MNE,0.693
98,MAR,0.598
99,MOZ,0.741
100,MMR,0.691
101,NAM,0.777
104,NZL,0.791
105,NIC,0.814
107,NGA,0.641
108,MKD,0.702
109,NOR,0.83
111,PAK,0.546
112,PAN,0.722
114,PRY,0.678
115,PER,0.719
116,PHL,0.79
117,POL,0.728
118,PRT,0.734
119,QAT,0.626
120,ROU,0.708
122,RWA,0.822
123,SAU,0.584
124,SEN,0.684
125,SRB,0.727
127,SGP,0.702
128,SVK,0.694
129,SVN,0.805
130,ZAF,0.756
131,ESP,0.746
132,LKA,0.669
133,SUR,0.689
134,SWE,0.816
135,CHE,0.755
137,TJK,0.678
139,THA,0.694
140,TLS,0.628
143,TUN,0.651
145,UGA,0.721
146,UKR,0.705
147,ARE,0.649
150,URY,0.71
154,YEM,0.516
156,ZWE,0.717
