,code,gii
1,ALB,0.704
2,DZA,0.642
3,AGO,0.643
4,ARG,0.735
5,ARM,0.669
6,AUS,0.721
7,AUT,0.716
8,AZE,0.684
9,BHS,0.729
10,BHR,0.615
11,BGD,0.698
12,BRB,0.739
13,BLR,0.737
14,BEL,0.745
15,BLZ,0.676
16,BEN,0.636
17,BTN,0.642
20,BWA,0.715
21,BRA,0.687
22,BRN,0.669
23,BGR,0.726
24,BFA,0.64
25,BDI,0.768
26,KHM,0.658
27,CMR,0.684
28,CAN,0.731
30,TCD,0.587
31,CHL,0.699
32,CHN,0.676
33,COL,0.727
35,CRI,0.736
36,CIV,0.597
37,HRV,0.7
38,CUB,0.74
39,CYP,0.684
42,DNK,0.754
43,DOM,0.676
44,ECU,0.726
45,EGY,0.614
46,SLV,0.702
47,EST,0.747
48,SWZ,0.665
49,ETH,0.662
51,FIN,0.845
52,FRA,0.755
54,GEO,0.681
55,DEU,0.766
56,GHA,0.705
57,GRC,0.68
58,GTM,0.666
59,GIN,0.64
61,HND,0.69
62,HUN,0.669
63,ISL,0.874
64,IND,0.683
65,IDN,0.682
68,IRL,0.797
69,ISR,0.719
70,ITA,0.719
71,JAM,0.724
72,JPN,0.66
73,JOR,0.603
74,KAZ,0.718
75,KEN,0.702
77,KWT,0.624
80,LVA,0.755
81,LBN,0.598
82,LSO,0.706
83,LBR,0.652
84,LTU,0.744
85,LUX,0.734
86,MDG,0.704
87,MWI,0.7
88,MYS,0.666
89,MDV,0.65
90,MLI,0.591
91,MLT,0.664
92,MRT,0.624
93,MUS,0.652
94,MEX,0.7
96,MNG,0.705
97,MNE,0.681
98,MAR,0.597
99,MOZ,0.75
101,NAM,0.765
104,NZL,0.781
105,NIC,0.78
107,NGA,0.643
108,MKD,0.696
109,NOR,0.842
110,OMN,0.612
111,PAK,0.556
112,PAN,0.721
114,PRY,0.676
115,PER,0.687
116,PHL,0.786
117,POL,0.727
118,PRT,0.737
119,QAT,0.643
120,ROU,0.69
122,RWA,0.8
123,SAU,0.583
124,SEN,0.685
125,SRB,0.72
127,SGP,0.712
128,SVK,0.679
129,SVN,0.786
130,ZAF,0.764
131,ESP,0.738
132,LKA,0.673
133,SUR,0.679
134,SWE,0.815
135,CHE,0.776
137,TJK,0.679
139,THA,0.699
140,TLS,0.637
142,TTO,0.723
143,TUN,0.636
145,UGA,0.704
146,UKR,0.7
147,ARE,0.639
150,URY,0.681
154,YEM,0.516
156,ZWE,0.71
